Arquivo,Aba,Total,Data_Emissao,Data_Vencimento,Mes_Referencia,Ano_Referencia,Sucesso,Erro
10a1996d-cb24-4b8c-b1cd-6b429cd41b2b_Aeronautica  Abril - 2023.xlsx,Total Mês ,335218.1942857143,,,4,2023,True,
7a248489-b438-4da4-b233-8c8a863886af_Aeronautica  Agosto - 23.xlsx,Total Mês ,333820.3038311689,,,8,2025,True,
77ac8e5d-5dea-4dd1-b7f6-af3f83ab74e2_Aeronautica  Fevereiro - 2023.xlsx,Total Mês ,333512.8840000001,,,2,2023,True,
54e3fe32-2035-4d7c-aaf0-a9dc4f9ecfa0_Aeronautica  Janeiro - 2023.xlsx,Total Mês ,321999.57678571437,,,1,2035,True,
d76f3139-9303-4450-9e33-43f04c04003b_Aeronautica  Julho - 23.xlsx,Total Mês ,336616.07000000007,,,7,2025,True,
9b20c409-08de-4272-85e7-1914745b8186_Aeronautica  Junho - 23.xlsx,Total Mês ,338426.7333333334,,,6,2025,True,
1b997101-4a5a-4252-a306-c19dcbadd7c6_Aeronautica  Maio - 23.xlsx,Total Mês ,339600.55000000005,,,5,2025,True,
cc2ffc81-47ca-43bb-a79b-dacf7ea9c350_Aeronautica  Março - 2023.xlsx,Total Mês ,337496.6421428572,,,3,2023,True,
1a82b04f-4249-4f84-84b3-093479860b39_Aeronautica  Setembro 23.xlsx,Total Mês ,330843.69678571436,,,9,2025,True,
54b0239d-f01d-4e9a-b9a9-6ed7c9b1a922_Aeronautica Dezembro -  2023.xlsx,Total Mês ,338550.8204903474,,,12,2023,True,
d7bd99e6-5bd0-42d7-bc3a-a8862b487ea6_Aeronautica Novembro - 2023.xlsx,Total Mês ,350537.12137533113,,,11,2023,True,
9b4cdb81-827b-47e6-83cd-499e5496d632_Aeronautica Outubro - 2023.xlsx,Total Mês ,324481.63142857153,,,10,2023,True,
